frame,Risk_1,Risk_2,Risk3,Risk4
14,"(100, 354, 374, 144)",,,
15,"(117, 354, 360, 141)",,,
16,"(138, 352, 353, 139)",,,
17,"(158, 353, 345, 137)",,,
18,"(180, 357, 339, 136)",,,
19,"(241, 359, 329, 133)",,,
20,"(276, 360, 326, 131)",,,
21,"(302, 362, 322, 127)",,,
22,"(317, 362, 314, 127)",,,
23,"(331, 363, 308, 126)","(212, 390, 81, 68)",,
24,"(351, 362, 304, 125)","(224, 387, 76, 73)",,
25,"(397, 357, 290, 126)","(239, 387, 72, 73)",,
26,"(413, 357, 278, 126)","(248, 385, 73, 74)",,
27,"(433, 360, 271, 125)","(259, 385, 73, 73)",,
28,"(465, 359, 266, 122)","(270, 384, 72, 72)",,
29,"(471, 361, 259, 121)","(279, 388, 78, 69)",,
30,"(502, 360, 251, 121)","(291, 386, 81, 69)","(370, 391, 121, 58)",
31,"(520, 362, 247, 119)","(302, 385, 82, 69)","(379, 392, 127, 57)",
32,"(533, 364, 246, 118)","(307, 384, 84, 69)","(386, 391, 130, 58)",
33,"(551, 363, 247, 116)","(314, 383, 84, 68)","(399, 391, 134, 57)",
34,"(557, 367, 249, 113)","(320, 384, 84, 67)","(406, 391, 136, 58)",
35,"(569, 365, 250, 111)","(328, 383, 81, 66)","(425, 392, 137, 57)",
36,"(587, 365, 250, 109)","(335, 383, 79, 64)","(441, 391, 137, 58)",
37,"(596, 364, 247, 108)","(340, 385, 77, 63)","(450, 393, 137, 57)",
38,"(613, 365, 241, 107)","(347, 385, 75, 61)","(470, 392, 137, 56)",
39,"(631, 364, 234, 105)","(353, 385, 73, 60)","(484, 393, 138, 55)",
40,"(639, 365, 229, 104)","(358, 386, 72, 58)","(495, 394, 139, 55)",
41,"(655, 363, 223, 104)","(364, 388, 70, 56)","(509, 394, 140, 54)",
42,"(678, 362, 216, 105)","(372, 387, 67, 55)","(532, 393, 138, 54)",
43,"(688, 362, 209, 103)","(377, 387, 65, 54)","(536, 394, 138, 54)",
44,"(703, 361, 207, 104)","(380, 388, 64, 52)","(561, 393, 137, 55)",
45,"(717, 358, 201, 104)","(387, 389, 61, 51)","(575, 392, 138, 56)",
46,"(725, 359, 195, 104)","(390, 390, 60, 49)","(581, 391, 139, 56)",
47,"(741, 357, 193, 104)","(396, 389, 59, 48)","(596, 391, 138, 56)",
48,"(754, 360, 192, 102)","(400, 391, 56, 47)","(612, 390, 137, 56)",
49,"(764, 358, 193, 101)","(403, 390, 55, 46)","(619, 392, 136, 55)",
50,"(763, 359, 196, 100)","(408, 391, 53, 45)","(638, 391, 134, 55)",
51,"(780, 356, 194, 100)","(411, 390, 50, 44)","(652, 393, 131, 53)",
52,"(778, 357, 192, 99)","(414, 390, 49, 44)","(657, 391, 131, 52)",
53,"(790, 354, 189, 100)","(417, 392, 47, 43)","(673, 392, 130, 52)",
54,"(794, 355, 186, 99)","(420, 392, 46, 42)","(686, 391, 128, 52)",
55,"(800, 356, 183, 97)","(422, 392, 45, 42)","(694, 392, 126, 51)",
56,"(811, 355, 178, 97)","(425, 394, 45, 41)","(707, 391, 124, 51)",
57,"(819, 352, 174, 97)","(426, 393, 45, 40)","(713, 391, 124, 51)",
58,"(828, 352, 170, 96)","(428, 395, 45, 39)","(726, 390, 124, 52)",
59,"(837, 352, 168, 94)","(431, 395, 45, 39)","(736, 389, 123, 52)",
60,"(844, 353, 168, 92)","(434, 395, 45, 38)","(738, 389, 125, 52)",
61,"(851, 354, 168, 91)","(437, 396, 44, 37)","(751, 387, 122, 52)",
62,"(860, 355, 169, 90)","(440, 396, 43, 37)","(761, 386, 120, 52)",
63,"(876, 360, 177, 84)","(442, 395, 42, 37)","(766, 387, 118, 52)",
64,"(884, 363, 184, 79)","(445, 395, 41, 37)","(780, 387, 115, 52)",
65,"(874, 365, 188, 76)","(447, 395, 40, 36)","(789, 387, 113, 51)",
66,"(885, 367, 192, 73)","(449, 395, 39, 36)","(792, 386, 113, 51)",
67,"(884, 366, 193, 72)","(451, 395, 38, 36)","(800, 385, 112, 51)",
68,"(888, 367, 193, 71)","(454, 396, 37, 35)","(809, 385, 111, 50)",
69,"(891, 366, 192, 70)","(456, 396, 36, 35)","(813, 385, 111, 49)",
70,"(894, 366, 191, 69)","(458, 396, 36, 35)","(822, 386, 108, 49)",
71,"(893, 365, 191, 68)","(461, 395, 35, 34)","(830, 385, 107, 49)",
72,"(895, 365, 190, 67)","(461, 396, 35, 34)","(833, 385, 107, 49)",
73,"(894, 363, 190, 66)","(462, 397, 35, 33)","(841, 384, 106, 49)",
74,"(895, 363, 191, 64)","(464, 397, 34, 33)","(846, 383, 106, 49)",
75,"(892, 363, 193, 63)","(465, 397, 34, 32)","(848, 381, 106, 49)",
76,"(876, 365, 195, 61)","(468, 396, 33, 32)","(852, 382, 106, 49)",
77,"(822, 381, 199, 58)","(470, 396, 33, 32)","(857, 381, 106, 48)",
