frame,Risk_1,Risk_2,Risk3,Risk4
12,"(444, 369, 119, 140)",,,
13,"(446, 367, 118, 143)",,,
14,"(448, 366, 118, 147)",,,
15,"(449, 364, 120, 150)",,,
16,"(452, 362, 121, 154)",,,
17,"(454, 361, 123, 157)",,,
18,"(456, 359, 125, 162)",,,
19,"(459, 357, 128, 164)",,,
20,"(464, 358, 130, 167)",,,
21,"(470, 356, 131, 169)",,,
22,"(474, 357, 132, 170)",,,
23,"(478, 356, 132, 171)","(419, 384, 48, 43)",,
24,"(487, 352, 132, 171)","(421, 383, 48, 44)",,
25,"(490, 353, 132, 171)","(422, 383, 49, 44)",,
26,"(494, 355, 132, 171)","(422, 384, 49, 45)",,
27,"(502, 358, 132, 170)","(426, 385, 48, 45)",,
28,"(510, 356, 131, 170)","(426, 385, 49, 45)",,
29,"(515, 357, 130, 168)","(426, 386, 49, 45)",,
30,"(521, 353, 130, 165)","(427, 385, 50, 45)",,
31,"(528, 357, 127, 162)","(427, 384, 51, 44)",,
32,"(531, 353, 126, 161)","(428, 384, 51, 45)",,
33,"(538, 353, 124, 156)","(429, 384, 51, 45)",,
34,"(542, 355, 121, 151)","(430, 383, 51, 45)",,
35,"(548, 355, 117, 147)","(432, 382, 50, 45)",,
36,"(551, 354, 115, 143)","(436, 383, 50, 45)",,
37,"(554, 356, 112, 137)","(436, 384, 50, 44)",,
38,"(557, 358, 109, 133)","(437, 385, 51, 43)",,
39,"(560, 360, 107, 125)","(442, 384, 50, 44)",,
40,"(563, 362, 104, 120)","(444, 383, 50, 44)",,
41,"(564, 362, 101, 116)","(446, 384, 50, 44)",,
42,"(566, 364, 97, 111)","(453, 384, 49, 45)",,
43,"(567, 365, 94, 107)","(452, 385, 50, 45)",,
44,"(569, 364, 91, 104)","(455, 384, 49, 45)",,
45,"(571, 366, 87, 99)","(461, 386, 50, 46)",,
46,"(574, 367, 83, 95)","(462, 387, 50, 45)",,
47,"(576, 369, 79, 91)","(466, 389, 49, 45)",,
48,"(577, 369, 75, 88)","(473, 391, 49, 44)",,
49,"(577, 371, 72, 85)","(475, 394, 49, 43)",,
50,"(578, 372, 69, 83)","(478, 394, 49, 43)",,
51,"(579, 372, 65, 80)","(486, 393, 50, 41)",,
52,"(578, 372, 62, 77)","(489, 392, 51, 41)",,
53,"(579, 371, 60, 75)","(491, 390, 52, 41)",,
54,"(579, 369, 58, 72)","(494, 390, 53, 41)",,
55,"(572, 372, 59, 67)","(500, 390, 54, 41)",,
56,"(570, 375, 61, 63)","(503, 393, 55, 41)",,
57,"(569, 378, 61, 60)","(505, 392, 55, 42)",,
58,"(567, 387, 63, 56)","(514, 399, 56, 42)",,
59,"(567, 389, 63, 54)","(517, 401, 58, 43)",,
60,"(566, 390, 64, 53)","(520, 400, 59, 43)",,
61,"(570, 388, 64, 51)","(524, 395, 58, 44)",,
62,"(568, 388, 64, 49)","(525, 395, 58, 44)",,
63,"(568, 387, 64, 48)","(525, 393, 58, 44)",,
64,"(568, 386, 62, 47)","(526, 394, 57, 43)",,
65,"(570, 385, 59, 46)","(524, 393, 56, 43)",,
66,"(571, 386, 57, 45)","(525, 393, 55, 43)",,
67,"(571, 386, 54, 43)","(524, 392, 54, 43)",,
68,"(571, 385, 51, 42)","(525, 392, 53, 43)",,
69,"(570, 387, 50, 40)","(525, 393, 52, 43)",,
70,"(570, 386, 47, 39)","(524, 391, 51, 42)",,
71,"(570, 385, 45, 38)","(525, 392, 50, 42)",,
72,"(569, 387, 44, 37)","(525, 391, 49, 42)",,
73,"(569, 385, 41, 36)","(526, 390, 49, 41)",,
74,"(569, 385, 39, 35)","(526, 390, 49, 41)",,
75,"(568, 385, 38, 34)","(526, 390, 49, 41)",,
76,"(567, 387, 37, 33)","(526, 390, 48, 41)",,
77,"(566, 387, 35, 32)","(526, 390, 48, 40)",,
78,"(564, 386, 34, 32)","(526, 390, 48, 40)",,
79,"(563, 389, 32, 31)","(527, 395, 48, 39)",,
80,"(562, 389, 31, 30)","(527, 393, 48, 40)",,
81,"(560, 391, 30, 29)","(527, 394, 49, 40)",,
82,"(559, 391, 29, 29)","(526, 395, 50, 40)",,
83,"(557, 392, 28, 28)","(526, 396, 51, 39)",,
84,"(556, 393, 26, 27)","(526, 395, 51, 40)",,
85,"(556, 393, 25, 27)","(525, 395, 50, 40)",,
86,"(551, 394, 26, 26)","(525, 397, 50, 40)",,
87,"(551, 398, 25, 25)","(526, 397, 49, 40)",,
88,"(541, 399, 29, 23)","(525, 397, 48, 40)",,
89,"(539, 400, 29, 24)","(525, 396, 48, 40)",,
90,"(536, 400, 30, 26)","(526, 396, 47, 40)",,
91,"(534, 401, 31, 27)","(526, 396, 46, 39)",,
92,"(532, 401, 32, 28)","(525, 396, 46, 39)",,
93,"(531, 401, 34, 28)","(525, 396, 46, 39)",,
94,"(530, 401, 35, 29)","(525, 394, 45, 38)",,
95,"(529, 399, 36, 30)","(526, 394, 45, 38)",,
96,"(529, 399, 37, 30)","(526, 394, 44, 38)",,
97,"(528, 398, 37, 31)","(524, 392, 44, 38)",,
98,"(528, 396, 38, 32)","(526, 391, 43, 38)",,
99,"(527, 395, 38, 32)","(527, 390, 42, 38)",,
