frame,Risk_1,Risk_2,Risk3,Risk4
6,"(277, 404, 743, 271)",,,
7,"(291, 404, 736, 272)",,,
8,"(299, 405, 732, 272)",,,
9,"(310, 400, 723, 274)",,,
10,"(315, 391, 730, 280)",,,
11,"(315, 388, 728, 284)",,,
12,"(329, 401, 730, 285)",,,
13,"(347, 403, 725, 287)",,,
14,"(360, 404, 711, 286)",,,
15,"(362, 399, 707, 279)",,,
16,"(370, 400, 700, 279)",,,
17,"(365, 399, 699, 280)",,,
18,"(384, 403, 693, 280)",,,
19,"(402, 404, 680, 279)",,,
20,"(409, 408, 675, 278)",,,
21,"(434, 414, 653, 291)",,,
22,"(445, 410, 629, 298)",,,
23,"(458, 411, 609, 299)",,,
24,"(481, 403, 588, 301)",,,
25,"(501, 410, 570, 297)",,,
26,"(515, 413, 554, 293)",,,
27,"(532, 415, 543, 288)",,,
28,"(547, 415, 527, 289)",,,
29,"(556, 418, 520, 286)",,,
30,"(563, 423, 508, 280)",,,
31,"(570, 428, 499, 274)",,,
32,"(573, 429, 495, 269)",,,
33,"(584, 436, 483, 263)",,,
34,"(590, 438, 471, 259)",,,
35,"(595, 442, 468, 255)",,,
36,"(604, 443, 455, 251)",,,
37,"(619, 446, 444, 249)",,,
38,"(627, 450, 433, 246)",,,
39,"(634, 454, 424, 244)",,,
40,"(627, 462, 419, 239)",,,
41,"(626, 466, 413, 232)",,,
42,"(639, 472, 407, 226)",,,
43,"(641, 477, 405, 221)",,,
44,"(641, 480, 406, 218)",,,
45,"(645, 484, 410, 216)",,,
46,"(665, 429, 394, 241)",,,
47,"(702, 356, 377, 256)",,,
48,"(683, 366, 369, 270)",,,
49,"(684, 375, 360, 280)",,,
50,"(683, 384, 361, 286)",,,
51,"(683, 391, 364, 289)",,,
52,"(679, 395, 367, 292)",,,
53,"(669, 401, 374, 290)",,,
54,"(653, 400, 377, 289)",,,
55,"(646, 397, 373, 287)",,,
56,"(650, 371, 363, 288)",,,
57,"(596, 428, 383, 267)",,,
58,"(637, 391, 370, 276)",,,
59,"(645, 398, 355, 278)",,,
60,"(620, 415, 348, 275)",,,
61,"(616, 421, 347, 273)",,,
62,"(601, 427, 344, 268)",,,
63,"(549, 469, 375, 239)",,,
64,"(593, 428, 361, 246)",,,
65,"(595, 427, 352, 249)",,,
66,"(595, 430, 346, 250)",,,
67,"(570, 409, 354, 232)",,,
68,"(544, 423, 362, 220)",,,
69,"(566, 433, 362, 210)",,,
70,"(465, 506, 394, 190)",,,
71,"(371, 512, 427, 174)",,,
72,"(353, 514, 450, 166)",,,
73,"(341, 515, 471, 160)",,,
74,"(328, 512, 491, 158)",,,
75,"(322, 509, 498, 158)",,,
76,"(312, 505, 508, 161)",,,
77,"(297, 501, 519, 163)",,,
78,"(287, 500, 525, 164)",,,
79,"(282, 497, 533, 168)",,,
80,"(268, 496, 544, 173)",,,
81,"(253, 495, 558, 174)",,,
82,"(247, 491, 566, 175)",,,
83,"(236, 485, 573, 178)",,,
84,"(225, 480, 580, 179)",,,
85,"(216, 478, 591, 181)",,,
86,"(201, 474, 601, 184)",,,
87,"(189, 468, 609, 188)",,,
88,"(176, 464, 614, 190)",,,
89,"(160, 463, 621, 192)",,,
90,"(143, 460, 629, 194)",,,
91,"(70, 461, 636, 195)",,,
92,"(49, 462, 639, 198)",,,
93,"(31, 463, 643, 200)",,,
94,"(16, 461, 637, 203)",,,
95,"(23, 458, 623, 205)",,,
96,"(20, 457, 611, 210)",,,
97,"(19, 456, 597, 211)",,,
98,"(16, 457, 586, 212)",,,
99,"(15, 458, 581, 211)",,,
