frame,Risk_1,Risk_2,Risk3,Risk4
23,"(771, 346, 242, 58)",,,
24,"(779, 347, 237, 61)",,,
25,"(778, 347, 235, 63)",,,
26,"(780, 347, 233, 63)",,,
27,"(780, 347, 232, 64)",,,
28,"(779, 348, 232, 64)",,,
29,"(779, 348, 232, 64)",,,
30,"(783, 348, 232, 65)",,,
31,"(788, 347, 231, 65)","(308, 369, 45, 30)",,
32,"(790, 346, 230, 66)","(305, 368, 47, 30)",,
33,"(793, 345, 230, 67)","(302, 368, 48, 30)",,
34,"(794, 344, 232, 67)","(301, 367, 48, 31)",,
35,"(796, 343, 233, 68)","(301, 366, 49, 31)",,
36,"(799, 343, 234, 68)","(302, 365, 50, 32)",,
37,"(794, 342, 234, 69)","(301, 365, 51, 32)",,
38,"(792, 342, 235, 69)","(300, 366, 52, 32)",,
39,"(795, 340, 236, 70)","(300, 367, 53, 32)",,
40,"(791, 338, 236, 71)","(298, 367, 54, 33)",,
41,"(789, 335, 236, 72)","(298, 366, 55, 33)",,
42,"(791, 334, 236, 74)","(298, 365, 56, 34)",,
43,"(788, 333, 238, 75)","(298, 365, 56, 34)",,
44,"(790, 332, 240, 77)","(298, 365, 55, 35)",,
45,"(776, 326, 240, 80)","(294, 361, 52, 36)",,
46,"(783, 325, 241, 82)","(294, 361, 50, 37)",,
47,"(780, 324, 246, 82)","(294, 359, 47, 38)",,
48,"(783, 324, 251, 82)","(289, 360, 46, 38)",,
49,"(782, 324, 258, 83)","(280, 360, 44, 38)",,
50,"(777, 324, 264, 84)","(270, 350, 44, 39)",,
51,"(773, 323, 269, 85)","(259, 340, 47, 36)",,
52,"(772, 321, 271, 87)","(254, 342, 49, 33)",,
53,"(769, 320, 275, 88)","(249, 343, 50, 31)",,
54,"(750, 319, 277, 90)","(245, 343, 52, 30)",,
55,"(747, 316, 276, 92)","(246, 344, 52, 28)",,
56,"(749, 316, 275, 93)","(241, 344, 53, 28)",,
57,"(750, 316, 275, 94)","(220, 347, 56, 25)",,
58,"(748, 315, 275, 95)","(215, 348, 58, 23)",,
59,"(749, 314, 276, 96)","(206, 344, 56, 24)",,
60,"(746, 315, 280, 95)","(200, 344, 55, 24)",,
61,"(746, 314, 282, 96)",,,
62,"(746, 314, 286, 96)",,,
63,"(745, 312, 291, 98)",,,
64,"(745, 313, 295, 98)",,,
65,"(741, 312, 299, 98)",,,
66,"(738, 311, 305, 98)",,,
67,"(734, 312, 310, 97)","(340, 353, 81, 48)",,
68,"(729, 313, 315, 97)","(343, 354, 83, 49)",,
69,"(727, 312, 324, 96)","(345, 353, 84, 49)",,
70,"(725, 313, 327, 95)","(347, 354, 85, 50)",,
71,"(723, 313, 331, 95)","(353, 354, 87, 50)",,
72,"(723, 309, 335, 96)","(358, 354, 87, 48)",,
73,"(717, 309, 338, 96)","(360, 354, 89, 48)",,
74,"(713, 306, 339, 98)","(364, 352, 91, 48)",,
75,"(705, 306, 346, 97)","(370, 352, 89, 47)",,
76,"(701, 304, 349, 97)","(368, 353, 90, 48)",,
77,"(694, 302, 352, 98)","(376, 352, 89, 48)",,
78,"(691, 301, 355, 101)","(388, 351, 88, 47)",,
79,"(691, 300, 357, 103)","(391, 349, 90, 48)",,
80,"(689, 298, 358, 104)","(397, 350, 91, 49)",,
81,"(689, 299, 361, 105)","(400, 349, 92, 49)",,
82,"(688, 298, 362, 106)","(404, 350, 92, 50)",,
83,"(686, 298, 364, 106)","(409, 348, 89, 52)",,
84,"(700, 299, 364, 106)","(410, 350, 89, 51)",,
85,"(695, 300, 368, 108)","(415, 350, 86, 51)",,
86,"(689, 300, 373, 111)","(420, 348, 84, 52)",,
87,"(689, 300, 377, 111)","(421, 350, 83, 51)",,
88,"(687, 301, 381, 112)","(420, 352, 82, 51)",,
89,"(684, 301, 382, 113)","(421, 351, 81, 51)",,
90,"(681, 299, 382, 115)","(420, 351, 82, 51)",,
91,"(655, 295, 387, 118)","(419, 350, 84, 51)",,
92,"(677, 297, 389, 117)","(419, 348, 85, 52)",,
93,"(691, 298, 385, 119)","(420, 347, 86, 52)",,
94,"(682, 298, 387, 119)","(421, 348, 90, 52)",,
95,"(685, 297, 386, 118)","(423, 349, 94, 52)",,
96,"(676, 300, 388, 116)","(409, 333, 88, 61)",,
97,"(687, 300, 387, 116)","(404, 326, 81, 67)",,
98,"(670, 302, 392, 115)","(405, 323, 76, 72)",,
99,"(680, 299, 393, 114)","(407, 323, 73, 75)",,
