frame,Risk_1,Risk_2,Risk3,Risk4
15,"(730, 255, 101, 50)",,,
16,"(722, 256, 104, 46)",,,
17,"(698, 258, 106, 44)",,,
18,"(687, 257, 106, 43)",,,
19,"(663, 257, 110, 40)",,,
20,"(627, 257, 109, 40)",,,
21,"(601, 257, 110, 41)",,,
22,"(596, 259, 114, 40)",,,
23,"(571, 256, 112, 42)","(435, 272, 48, 41)",,
24,"(549, 256, 112, 44)","(436, 272, 48, 41)",,
25,"(538, 259, 118, 43)","(436, 272, 48, 41)",,
26,"(512, 257, 115, 44)","(437, 272, 48, 41)",,
27,"(489, 258, 114, 45)","(437, 272, 47, 41)",,
28,"(483, 262, 118, 44)","(437, 272, 47, 41)",,
29,"(464, 261, 117, 44)","(437, 275, 50, 41)",,
30,"(449, 264, 117, 44)","(422, 272, 53, 42)",,
31,"(439, 267, 120, 43)","(417, 275, 54, 42)",,
32,"(415, 267, 121, 43)","(395, 272, 56, 44)",,
33,"(399, 269, 123, 43)","(386, 271, 58, 45)",,
34,"(387, 270, 125, 42)","(379, 272, 59, 46)",,
35,"(367, 266, 122, 45)","(378, 268, 66, 44)",,
36,"(354, 273, 124, 45)","(363, 271, 72, 43)",,
37,"(345, 270, 125, 45)","(375, 273, 80, 41)",,
38,"(325, 271, 121, 46)","(356, 276, 82, 41)",,
39,"(310, 275, 122, 46)","(342, 276, 86, 41)",,
40,"(300, 276, 122, 46)","(330, 278, 88, 41)",,
41,"(280, 273, 121, 47)","(308, 277, 89, 42)",,
42,"(266, 277, 121, 47)","(293, 280, 92, 42)",,
43,"(260, 278, 121, 46)","(280, 281, 95, 42)",,
44,"(239, 278, 119, 46)","(268, 283, 91, 43)",,
45,"(224, 280, 118, 47)","(255, 283, 91, 44)",,
46,"(215, 282, 119, 46)","(263, 284, 90, 44)",,
47,"(194, 286, 117, 48)","(257, 285, 87, 45)",,
48,"(183, 290, 116, 49)","(208, 288, 90, 45)",,
49,"(173, 293, 119, 49)","(188, 296, 95, 46)",,
50,"(156, 294, 114, 50)","(170, 296, 95, 47)",,
51,"(146, 297, 114, 50)","(163, 298, 95, 48)",,
52,"(135, 299, 115, 50)","(149, 300, 98, 48)",,
53,"(121, 302, 113, 52)","(131, 302, 98, 50)",,
54,"(110, 302, 114, 53)","(124, 303, 99, 51)",,
55,"(110, 302, 113, 53)","(117, 303, 101, 50)",,
56,"(102, 304, 112, 52)","(109, 304, 102, 49)",,
57,"(93, 308, 112, 51)","(90, 313, 102, 49)",,
58,"(90, 311, 112, 49)","(88, 312, 103, 48)",,
59,"(80, 315, 112, 46)","(80, 316, 103, 46)",,
60,"(73, 317, 111, 46)","(66, 320, 103, 45)",,
61,"(57, 321, 109, 44)","(54, 321, 102, 43)",,
62,"(44, 324, 109, 42)","(38, 323, 101, 42)",,
63,"(34, 326, 106, 41)","(34, 325, 99, 41)",,
64,"(24, 328, 107, 40)","(27, 326, 99, 40)",,
65,"(15, 329, 106, 39)","(14, 328, 99, 40)",,
66,"(2, 327, 105, 40)","(10, 328, 97, 41)",,
67,"(-1, 329, 104, 40)","(5, 328, 97, 42)",,
68,"(0, 331, 100, 41)","(3, 327, 97, 43)",,
69,"(-5, 330, 98, 41)","(0, 326, 93, 44)",,
70,"(-5, 330, 94, 42)","(1, 327, 91, 45)",,
71,"(-4, 331, 92, 42)","(-3, 329, 89, 45)",,
72,"(-5, 331, 88, 43)","(0, 329, 86, 45)",,
73,"(-1, 331, 87, 42)","(2, 328, 88, 45)",,
74,"(-4, 331, 85, 42)","(7, 327, 89, 44)",,
75,"(-1, 331, 82, 42)","(10, 327, 89, 44)",,
76,"(4, 331, 83, 41)","(12, 328, 92, 43)",,
77,"(0, 324, 82, 40)","(6, 327, 90, 44)",,
78,"(3, 333, 81, 40)","(2, 326, 87, 45)",,
79,"(2, 333, 79, 40)","(1, 325, 85, 47)",,
80,"(-3, 331, 77, 41)","(-1, 321, 80, 51)",,
81,"(-3, 334, 74, 42)","(0, 324, 76, 53)",,
82,"(-4, 331, 70, 44)","(0, 320, 74, 55)",,
83,"(6, 295, 70, 43)","(15, 288, 76, 53)",,
84,"(10, 294, 71, 43)","(15, 284, 76, 55)",,
85,"(6, 293, 72, 43)","(14, 281, 76, 57)",,
86,"(10, 298, 72, 42)","(14, 289, 79, 55)",,
87,"(6, 296, 72, 42)","(13, 285, 78, 57)",,
88,"(5, 295, 73, 42)","(13, 284, 81, 56)",,
89,"(8, 290, 70, 45)","(12, 281, 80, 59)",,
90,"(12, 295, 71, 44)","(11, 276, 80, 61)",,
91,"(8, 292, 72, 44)","(11, 274, 80, 63)",,
92,"(6, 300, 73, 43)","(11, 279, 80, 64)",,
93,"(4, 299, 73, 42)","(10, 284, 80, 65)",,
94,"(7, 297, 74, 42)","(10, 280, 81, 66)",,
95,"(5, 296, 74, 42)","(17, 277, 82, 66)",,
96,"(8, 294, 74, 42)","(8, 274, 82, 68)",,
97,"(5, 293, 75, 42)","(8, 279, 82, 69)",,
98,"(8, 288, 72, 45)","(9, 275, 82, 70)",,
99,"(5, 294, 72, 44)","(10, 272, 82, 72)",,
