frame,Risk_1,Risk_2,Risk3,Risk4
44,"(522, 346, 181, 67)",,,
45,"(518, 345, 179, 68)",,,
46,"(514, 346, 181, 67)",,,
47,"(513, 347, 181, 66)",,,
48,"(512, 343, 177, 70)","(17, 355, 134, 70)",,
49,"(499, 342, 173, 73)","(20, 352, 126, 77)",,
50,"(483, 357, 173, 73)","(37, 361, 119, 82)",,
51,"(474, 356, 174, 73)","(68, 351, 116, 85)",,
52,"(469, 355, 174, 74)","(80, 352, 115, 87)",,
53,"(465, 357, 176, 75)","(91, 354, 123, 82)",,
54,"(450, 359, 179, 76)","(132, 352, 123, 87)",,
55,"(433, 359, 181, 78)","(142, 350, 123, 89)",,
56,"(420, 360, 184, 79)","(143, 348, 123, 92)",,
57,"(408, 361, 187, 81)","(165, 364, 132, 85)",,
58,"(407, 362, 189, 82)","(176, 365, 139, 81)",,
59,"(405, 363, 190, 83)","(186, 363, 143, 79)",,
60,"(384, 363, 189, 86)","(214, 362, 148, 78)",,
61,"(379, 365, 192, 87)","(216, 360, 152, 78)",,
62,"(375, 366, 191, 89)","(230, 358, 155, 78)",,
63,"(382, 370, 190, 90)","(226, 358, 156, 79)",,
64,"(384, 369, 187, 93)","(235, 357, 156, 80)",,
65,"(389, 365, 175, 104)","(243, 358, 156, 79)",,
66,"(403, 358, 165, 116)","(266, 358, 158, 81)",,
67,"(405, 347, 162, 122)","(264, 357, 157, 81)",,
68,"(411, 337, 159, 126)","(270, 356, 159, 82)",,
69,"(417, 329, 155, 129)","(275, 356, 160, 82)",,
70,"(420, 318, 152, 131)","(270, 355, 159, 82)",,
71,"(422, 325, 150, 132)","(274, 357, 158, 83)",,
72,"(442, 332, 150, 132)","(271, 355, 155, 83)",,
73,"(427, 439, 148, 133)","(271, 353, 153, 82)",,
74,"(431, 453, 147, 133)","(268, 353, 150, 81)",,
75,"(434, 448, 147, 135)","(266, 353, 146, 81)",,
76,"(436, 445, 147, 135)","(267, 352, 143, 82)",,
77,"(437, 457, 148, 136)","(270, 352, 136, 87)",,
78,"(429, 451, 147, 136)","(276, 352, 132, 90)",,
79,"(434, 460, 147, 136)","(280, 352, 128, 93)",,
80,"(452, 483, 155, 129)","(281, 351, 126, 94)",,
81,"(453, 485, 160, 125)","(274, 354, 131, 88)",,
82,"(452, 487, 167, 119)","(273, 356, 134, 84)",,
83,"(407, 462, 162, 122)","(274, 357, 135, 82)",,
84,"(413, 472, 160, 125)","(280, 356, 130, 87)",,
85,"(403, 464, 157, 127)","(283, 355, 127, 89)",,
86,"(456, 486, 165, 121)","(282, 355, 126, 91)",,
87,"(549, 495, 176, 110)","(288, 353, 124, 93)",,
88,"(568, 501, 183, 102)","(290, 351, 123, 94)",,
89,"(606, 504, 187, 98)","(290, 350, 123, 94)",,
90,"(610, 505, 189, 96)","(291, 350, 122, 95)",,
91,"(615, 505, 191, 95)","(290, 349, 122, 96)",,
92,"(619, 504, 192, 94)","(292, 350, 121, 96)",,
93,"(609, 505, 194, 93)","(292, 349, 120, 97)",,
94,"(615, 505, 196, 93)","(292, 350, 120, 97)",,
95,"(603, 504, 198, 92)","(294, 349, 119, 97)",,
96,"(610, 505, 200, 91)","(293, 351, 119, 96)",,
97,"(615, 503, 202, 92)","(294, 351, 119, 96)",,
98,"(605, 504, 202, 92)","(293, 352, 119, 96)",,
99,"(611, 503, 204, 92)","(293, 352, 118, 95)",,
