frame,Risk_1,Risk_2,Risk3,Risk4
31,"(570, 388, 48, 36)",,,
32,"(573, 388, 48, 36)",,,
33,"(576, 389, 48, 37)","(524, 396, 50, 39)",,
34,"(577, 389, 49, 37)","(524, 396, 50, 38)",,
35,"(578, 389, 49, 38)","(525, 397, 50, 39)",,
36,"(579, 391, 51, 39)","(526, 396, 50, 40)",,
37,"(578, 392, 52, 39)","(527, 397, 51, 40)",,
38,"(577, 392, 54, 40)","(527, 398, 52, 41)",,
39,"(575, 396, 55, 41)","(523, 400, 55, 42)",,
40,"(573, 394, 56, 43)","(519, 399, 58, 42)",,
41,"(572, 393, 57, 44)","(516, 398, 60, 43)",,
42,"(571, 389, 58, 45)","(505, 394, 58, 41)",,
43,"(573, 383, 59, 48)","(501, 391, 56, 41)",,
44,"(571, 381, 61, 49)","(500, 390, 55, 40)",,
45,"(574, 377, 64, 52)","(493, 390, 53, 40)",,
46,"(574, 378, 67, 54)","(492, 389, 53, 40)",,
47,"(574, 380, 68, 56)","(488, 391, 53, 40)",,
48,"(573, 380, 70, 58)","(486, 391, 52, 40)",,
49,"(573, 380, 72, 60)","(481, 393, 50, 41)",,
50,"(574, 380, 74, 63)","(477, 394, 50, 41)",,
51,"(573, 379, 76, 65)","(475, 394, 49, 41)",,
52,"(572, 378, 79, 68)","(466, 392, 48, 42)",,
53,"(570, 376, 83, 72)","(465, 391, 48, 42)",,
54,"(568, 375, 85, 74)","(463, 390, 48, 43)",,
55,"(566, 374, 89, 77)","(457, 388, 47, 44)",,
56,"(565, 374, 93, 79)","(454, 386, 48, 44)",,
57,"(562, 375, 96, 81)","(453, 386, 48, 45)",,
58,"(561, 373, 101, 84)","(448, 385, 48, 45)",,
59,"(557, 374, 105, 87)","(446, 385, 48, 44)",,
60,"(554, 372, 109, 90)","(444, 385, 49, 43)",,
61,"(550, 371, 114, 94)","(439, 385, 49, 43)",,
62,"(547, 369, 119, 98)","(439, 385, 49, 43)",,
63,"(540, 368, 124, 100)","(437, 385, 48, 42)",,
64,"(535, 367, 128, 104)","(433, 384, 48, 42)",,
65,"(530, 369, 132, 107)","(432, 384, 48, 42)",,
66,"(529, 368, 135, 111)","(431, 384, 48, 42)",,
67,"(521, 369, 138, 114)","(429, 384, 48, 43)",,
68,"(516, 371, 143, 117)","(429, 384, 48, 43)",,
69,"(511, 371, 147, 120)","(428, 384, 48, 44)",,
70,"(504, 375, 150, 123)","(427, 385, 48, 44)",,
71,"(498, 376, 154, 126)","(426, 385, 48, 45)",,
72,"(494, 375, 157, 129)","(426, 385, 48, 45)",,
73,"(484, 372, 157, 134)","(424, 385, 49, 45)",,
74,"(478, 368, 159, 138)","(424, 385, 49, 45)",,
75,"(475, 366, 161, 141)","(421, 384, 50, 46)",,
76,"(462, 365, 161, 143)","(420, 384, 49, 47)",,
77,"(460, 363, 162, 146)","(420, 385, 49, 47)",,
78,"(456, 365, 162, 147)","(418, 384, 48, 48)",,
79,"(450, 363, 162, 149)","(418, 385, 48, 49)",,
80,"(443, 363, 163, 151)","(416, 386, 47, 49)",,
81,"(441, 361, 163, 152)","(415, 385, 47, 48)",,
82,"(436, 363, 161, 152)","(415, 382, 47, 48)",,
83,"(431, 363, 160, 151)","(414, 383, 45, 47)",,
84,"(429, 361, 158, 149)","(412, 384, 44, 47)",,
85,"(426, 363, 157, 146)","(415, 385, 43, 46)",,
86,"(425, 363, 154, 145)","(414, 385, 43, 46)",,
87,"(425, 363, 151, 143)","(415, 387, 42, 45)",,
88,"(426, 366, 148, 140)","(415, 388, 42, 45)",,
89,"(427, 367, 145, 137)","(415, 389, 42, 44)",,
90,"(428, 369, 143, 133)","(416, 390, 41, 43)",,
91,"(428, 368, 141, 130)","(417, 391, 41, 43)",,
92,"(427, 374, 138, 125)","(418, 392, 41, 42)",,
93,"(429, 372, 136, 123)","(418, 392, 41, 42)",,
94,"(430, 373, 133, 120)","(418, 394, 41, 41)",,
95,"(432, 376, 130, 116)","(419, 394, 41, 40)",,
96,"(433, 378, 128, 113)","(419, 394, 40, 40)",,
97,"(435, 380, 125, 110)","(419, 396, 40, 39)",,
98,"(437, 379, 122, 108)","(421, 398, 40, 39)",,
99,"(439, 381, 119, 105)","(420, 397, 40, 39)",,
